K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
6,0.005,0.0005,32,2,0.0010625298600643873,0.4033093750476837,2.3921454
6,0.01,0.0005,32,1,0.001133735291659832,0.41793757677078247,2.4081743
8,0.01,0.0001,64,2,0.0008358300547115505,0.3668619692325592,2.4262052
7,0.005,1e-05,32,1,0.0007526254048570991,0.3445790708065033,2.4363074
5,0.005,1e-05,32,1,0.000748409191146493,0.3461305797100067,2.4389257
6,0.01,0.0005,64,2,0.0019007764058187604,0.5529047250747681,2.4587016
8,0.005,0.0001,64,2,0.001084560644812882,0.4129392206668854,2.4801373
7,0.01,0.0001,32,3,0.0007961399969644845,0.35070884227752686,2.526211
7,0.005,5e-05,32,1,0.0007619587704539299,0.34452179074287415,2.5269096
7,0.005,0.0001,128,3,0.0009605262312106788,0.37742507457733154,2.5509675
5,0.01,0.0001,128,2,0.0011565318563953042,0.42096424102783203,2.5700645
8,0.01,0.0001,128,2,0.0010777298593893647,0.4058207869529724,2.612748
6,0.005,1e-05,32,1,0.0008862963295541704,0.37036049365997314,2.633187
8,0.005,0.0001,32,2,0.0010745152831077576,0.3994036018848419,2.6345253
5,0.001,5e-05,128,1,0.0007046688697300851,0.333438515663147,2.6546905
5,0.01,0.0005,32,1,0.0010577273787930608,0.41113871335983276,2.6569228
6,0.005,0.0001,32,2,0.0006562081980518997,0.3241540789604187,2.6581588
6,0.01,5e-05,64,1,0.0006549678510054946,0.32333335280418396,2.6662338
6,0.005,1e-05,128,3,0.0007171355537138879,0.3323095440864563,2.6779206
8,0.005,0.0005,32,3,0.001316836103796959,0.4480080008506775,2.6818419
6,0.01,5e-05,32,2,0.0007734594400972128,0.34850257635116577,2.6874723
7,0.01,5e-05,128,2,0.0008593738893978298,0.36868566274642944,2.708344
8,0.001,0.0005,128,3,0.0016735248500481248,0.49834537506103516,2.712517
8,0.01,5e-05,64,2,0.0006771637126803398,0.33181554079055786,2.7171524
7,0.005,0.0001,64,3,0.0009431095095351338,0.3866974711418152,2.7181923
5,0.001,5e-05,128,2,0.0006465594051405787,0.32057246565818787,2.7235117
7,0.005,5e-05,64,3,0.0007676893728785217,0.3453468382358551,2.7609537
5,0.01,0.0001,32,2,0.000732325715944171,0.3362515866756439,2.7631462
8,0.01,0.0005,32,3,0.0009951707907021046,0.39658892154693604,2.7713199
