K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
8,0.001,0.0005,64,3,0.001664679148234427,0.484040766954422,0.4513285160064697
6,0.005,5e-05,32,2,0.0015020687133073807,0.4844530522823334,0.5108632445335388
5,0.01,1e-05,128,2,0.0015606415690854192,0.48448866605758667,0.5294520258903503
7,0.001,0.0005,32,3,0.0016090372810140252,0.4869801998138428,0.4817764163017273
8,0.01,0.0005,32,1,0.0015982023905962706,0.48762696981430054,0.4865265488624573
7,0.001,0.0005,32,2,0.0015218165935948491,0.48922163248062134,0.43486684560775757
5,0.01,1e-05,128,3,0.0016207422595471144,0.4898134469985962,0.6179265975952148
8,0.01,0.0001,128,2,0.0015924962935969234,0.4899061918258667,0.8351492881774902
6,0.005,5e-05,64,3,0.0015318277291953564,0.49021098017692566,0.6383416056632996
6,0.005,5e-05,32,3,0.0015141753247007728,0.4911799430847168,0.5098533630371094
6,0.005,0.0005,32,1,0.0015526958741247654,0.49424004554748535,0.53988116979599
6,0.01,0.0001,128,1,0.0016202419064939022,0.4944863021373749,0.4863053858280182
6,0.005,0.0001,32,2,0.0015939429868012667,0.49481141567230225,0.5124033689498901
8,0.01,0.0001,64,3,0.0016325674951076508,0.4958568811416626,0.590592622756958
6,0.01,0.0001,32,2,0.0016869414830580354,0.49615970253944397,0.4230711758136749
6,0.005,0.0001,64,2,0.001624724012799561,0.49629300832748413,0.45426279306411743
5,0.01,1e-05,64,3,0.0015505622141063213,0.4965124726295471,0.4604264497756958
8,0.005,0.0001,32,2,0.0016560740768909454,0.4981398284435272,0.4823538362979889
5,0.005,1e-05,32,3,0.0016185162821784616,0.49831855297088623,0.4728213846683502
5,0.001,0.0005,32,1,0.0016729902708902955,0.4989762604236603,0.4913910925388336
6,0.001,5e-05,32,2,0.0016526250401511788,0.5000119209289551,0.46160367131233215
8,0.005,5e-05,32,2,0.0016103668604046106,0.50077223777771,0.47685641050338745
5,0.01,5e-05,128,3,0.0016221582191064954,0.5009469389915466,0.4488278031349182
7,0.001,0.0005,32,1,0.0016980706714093685,0.5023233890533447,0.5022283792495728
7,0.001,0.0005,128,1,0.0017031091265380383,0.503354549407959,0.4904756546020508
