K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
7,0.01,5e-05,128,2,0.3728179335594177,0.5767423510551453
7,0.01,1e-05,128,1,0.3795815110206604,0.5772916674613953
8,0.005,0.0005,128,3,0.3978267014026642,0.5786328911781311
6,0.005,0.0005,128,2,0.3958617150783539,0.5786378383636475
5,0.01,5e-05,64,3,0.4135169982910156,0.5790484547615051
5,0.01,0.0005,128,1,0.4098539352416992,0.5796062350273132
6,0.01,1e-05,128,2,0.37353846430778503,0.5798198580741882
8,0.01,0.0001,128,2,0.409790962934494,0.5804727673530579
7,0.01,0.0005,64,3,0.4268905818462372,0.5808020234107971
8,0.01,1e-05,32,3,0.34606024622917175,0.5809991359710693
6,0.01,1e-05,64,3,0.35561129450798035,0.5811925530433655
5,0.005,5e-05,32,3,0.4249867796897888,0.5822095274925232
8,0.005,1e-05,64,3,0.35456815361976624,0.5831856727600098
8,0.005,1e-05,32,3,0.3576309382915497,0.5847547054290771
7,0.005,1e-05,32,3,0.37727874517440796,0.586270809173584
8,0.01,0.0001,64,3,0.40852248668670654,0.5873296856880188
5,0.01,0.0005,64,3,0.43885207176208496,0.5876820683479309
8,0.01,5e-05,128,3,0.3789607286453247,0.5881051421165466
5,0.01,1e-05,32,2,0.3791261315345764,0.5887743234634399
5,0.01,1e-05,128,3,0.4116160273551941,0.5890004634857178
5,0.005,5e-05,64,3,0.43929654359817505,0.5892354846000671
8,0.01,5e-05,128,2,0.35080277919769287,0.5897535085678101
6,0.005,1e-05,128,3,0.38317909836769104,0.5899815559387207
8,0.01,1e-05,64,2,0.36015892028808594,0.59009850025177
7,0.01,1e-05,128,3,0.34588223695755005,0.5901316404342651
5,0.01,0.0005,128,2,0.4431896209716797,0.5903403759002686
8,0.01,0.0005,128,3,0.4719545543193817,0.5909287333488464
5,0.01,1e-05,128,1,0.3526826500892639,0.5940886735916138
5,0.01,5e-05,64,2,0.4037434458732605,0.5945231318473816
6,0.01,1e-05,128,3,0.40578198432922363,0.5951588153839111
5,0.01,1e-05,32,3,0.3832803964614868,0.5956703424453735
5,0.01,1e-05,64,3,0.4116101861000061,0.5963260531425476
5,0.005,0.0001,32,3,0.4144447445869446,0.5966127514839172
8,0.005,1e-05,128,3,0.3412916362285614,0.5975865125656128
7,0.01,5e-05,64,2,0.3779735267162323,0.5987574458122253
6,0.005,5e-05,128,3,0.36993300914764404,0.6013120412826538
8,0.005,0.0001,64,3,0.3664132356643677,0.6015489101409912
6,0.005,0.0001,128,3,0.3903517723083496,0.6028319597244263
5,0.01,1e-05,128,2,0.45515191555023193,0.6039132475852966
8,0.01,5e-05,64,2,0.415768563747406,0.6054852604866028
6,0.005,0.0005,64,3,0.4242520332336426,0.6065241694450378
8,0.01,1e-05,64,3,0.35321658849716187,0.6092814803123474
7,0.01,0.0001,64,2,0.38421010971069336,0.6147696375846863
6,0.01,5e-05,128,3,0.39767974615097046,0.6151560544967651
7,0.01,1e-05,64,3,0.3735298216342926,0.6155107021331787
5,0.01,5e-05,128,2,0.4374949634075165,0.6157442927360535
7,0.005,1e-05,64,3,0.3862857520580292,0.6162883043289185
6,0.01,5e-05,32,3,0.3703807592391968,0.6172831654548645
5,0.005,0.0005,128,2,0.4218721091747284,0.6185076832771301
7,0.01,1e-05,128,2,0.3919511139392853,0.618574321269989
6,0.005,0.0005,128,3,0.4379269480705261,0.6197524070739746
8,0.01,0.0001,128,3,0.38056743144989014,0.6313522458076477
6,0.01,0.0001,128,3,0.4082856774330139,0.6327599883079529
